날짜,주가_모멘텀,주가_강도,주가_폭,풋콜_비율,신용스프레드,시장_변동성,안전자산_수요,K_탐욕공포지수,등급,업데이트_시각,CNN_탐욕공포지수,CNN_등급
2025-12-15,68.12749003984064,15.53784860557769,16.334661354581673,16.733067729083658,24.501992031872504,16.733067729083658,27.88844621513944,26.550939100739892,공포,,,
2025-12-16,56.17529880478087,7.569721115537849,16.334661354581673,64.14342629482071,19.920318725099605,20.318725099601593,37.84860557768924,31.7586795674445,공포,,,
2025-12-17,60.1593625498008,50.59760956175299,16.733067729083665,50.59760956175299,19.322709163346616,20.318725099601593,50.59760956175299,38.33238474672737,공포,,,
2025-12-18,53.78486055776892,65.73705179282868,16.733067729083665,9.163346613545826,15.13944223107569,20.717131474103596,25.099601593625497,29.48207171314741,공포,,,
2025-12-19,54.581673306772906,21.51394422310757,16.733067729083665,47.808764940239044,20.119521912350606,32.66932270916335,58.16733067729084,35.94194649971542,공포,,,
2025-12-22,63.34661354581673,76.09561752988047,16.733067729083665,76.09561752988049,19.322709163346616,27.49003984063745,70.1195219123506,49.88616960728515,중립,,,
2025-12-23,64.14342629482071,29.880478087649404,17.131474103585656,64.5418326693227,9.960159362549803,27.49003984063745,69.32270916334662,40.35287421741605,공포,,,
2025-12-24,60.1593625498008,16.733067729083665,16.334661354581673,68.52589641434263,9.960159362549803,35.059760956175296,51.79282868525896,36.9379624359704,공포,,,
2025-12-26,61.75298804780876,42.23107569721115,15.53784860557769,89.24302788844622,9.960159362549803,35.059760956175296,49.800796812749006,43.3693796243597,공포,,,
2025-12-29,74.5019920318725,86.85258964143426,17.131474103585656,78.08764940239044,9.561752988047814,34.26294820717132,71.71314741035857,53.15879339783722,중립,,,
2025-12-30,70.1195219123506,40.63745019920319,17.52988047808765,85.2589641434263,12.151394422310759,34.26294820717132,72.11155378486056,47.43881616391577,중립,,,
2026-01-02,87.25099601593625,81.27490039840637,17.928286852589643,47.01195219123506,7.968127490039848,33.06772908366534,72.50996015936255,49.5731360273193,중립,,,
2026-01-05,92.03187250996015,84.06374501992032,20.717131474103585,83.26693227091633,5.976095617529879,23.505976095617527,82.47011952191235,56.0045532157086,탐욕,,,
2026-01-06,94.02390438247012,69.32270916334662,23.107569721115535,95.61752988047809,8.565737051792837,23.505976095617527,87.64940239043824,57.39897552646557,탐욕,,,
2026-01-07,94.42231075697211,36.65338645418327,26.294820717131472,40.23904382470119,5.179282868525888,24.302788844621517,83.66533864541833,44.39385315879339,공포,,,
2026-01-08,93.22709163346613,1.593625498007968,24.701195219123505,44.62151394422311,4.581673306772899,25.099601593625493,77.68924302788844,38.78770631758679,공포,,,
2026-01-09,94.82071713147411,87.64940239043824,27.490039840637447,2.7888446215139453,9.960159362549803,25.498007968127496,82.47011952191235,47.239612976664766,중립,,,
2026-01-12,95.2191235059761,65.73705179282868,30.278884462151396,20.717131474103596,28.486055776892428,26.294820717131472,86.45418326693228,50.455321570859425,중립,,,
2026-01-13,97.21115537848605,56.573705179282875,32.669322709163346,5.179282868525888,34.06374501992032,26.69322709163346,92.43027888446214,49.26010244735344,중립,,,
2026-01-14,97.21115537848605,87.64940239043824,37.45019920318725,11.155378486055781,29.681274900398407,26.69322709163346,89.64143426294821,54.21172453044964,중립,,,
2026-01-15,98.00796812749005,74.10358565737052,41.03585657370518,38.24701195219124,76.49402390438247,33.86454183266933,97.21115537848605,65.56630620375641,탐욕,,,
2026-01-16,99.60159362549801,58.964143426294825,46.21513944223107,5.577689243027891,66.33466135458167,63.745019920318725,99.20318725099602,62.80591918042118,탐욕,,,
2026-01-19,99.60159362549801,52.98804780876494,51.39442231075697,49.800796812749006,77.29083665338646,65.33864541832669,98.80478087649402,70.7455890722823,탐욕,,,
2026-01-20,99.20318725099602,71.71314741035857,56.573705179282875,23.90438247011953,80.0796812749004,79.6812749003984,99.60159362549801,72.96528173022197,탐욕,,,
2026-01-21,99.20318725099602,13.147410358565736,60.55776892430279,12.749003984063748,44.02390438247012,79.28286852589642,99.20318725099602,58.30961866818442,탐욕,,,
2026-01-22,99.20318725099602,55.77689243027888,64.5418326693227,17.529880478087648,18.525896414342625,82.07171314741035,97.60956175298804,62.17985202048947,탐욕,,,
2026-01-23,99.60159362549801,62.54980079681275,66.53386454183267,2.7888446215139453,19.920318725099605,82.86852589641434,98.40637450199203,61.80990324416619,탐욕,,,
2026-01-26,97.60956175298804,26.693227091633464,67.72908366533864,41.83266932270916,8.764940239043824,77.68924302788845,96.81274900398407,59.590210586226526,탐욕,,,
2026-01-27,100.0,54.18326693227091,68.12749003984064,0.0,5.577689243027891,70.11952191235059,100.0,56.85828116107,탐욕,,,
2026-01-28,100.0,59.36254980079681,69.32270916334662,0.0,1.1952191235059786,72.11155378486056,99.20318725099602,57.313602731929436,탐욕,,,
2026-01-29,100.0,80.47808764940238,70.5179282868526,7.968127490039848,5.179282868525888,75.69721115537848,100.0,62.83437677859989,탐욕,,,
2026-01-30,99.60159362549801,48.60557768924303,73.30677290836654,0.0,11.75298804780877,78.88446215139442,97.21115537848605,58.48036425725669,탐욕,,,
2026-02-02,92.03187250996015,1.1952191235059761,69.7211155378486,39.44223107569721,15.537848605577693,21.513944223107572,78.88446215139442,45.47524188958452,중립,,,
2026-02-03,100.0,100.0,71.71314741035857,7.171314741035857,15.936254980079681,9.960159362549803,92.43027888446214,56.74445076835516,탐욕,,,
2026-02-04,100.0,98.00796812749005,77.68924302788844,0.3984063745019881,19.721115537848604,9.960159362549803,94.02390438247012,57.11439954467842,탐욕,,,
2026-02-05,96.81274900398407,35.0597609561753,79.2828685258964,11.155378486055781,18.725099601593627,0.0,84.86055776892431,46.55663062037564,중립,,,
2026-02-06,91.63346613545816,24.701195219123505,80.47808764940238,68.12749003984064,24.900398406374507,0.0,77.29083665338645,52.44735344336938,중립,,,
2026-02-09,98.00796812749005,94.42231075697211,84.4621513944223,25.896414342629484,28.286852589641427,0.0,88.84462151394422,59.98861696072852,탐욕,,,
2026-02-10,97.60956175298804,87.64940239043824,87.25099601593625,35.4581673306773,7.968127490039848,0.3984063745019881,82.86852589641434,57.02902675014228,탐욕,,,
2026-02-11,98.00796812749005,67.33067729083665,88.84462151394422,68.92430278884461,3.1872509960159334,0.3984063745019881,83.26693227091634,58.56573705179282,탐욕,,,
2026-02-12,100.0,74.9003984063745,89.64143426294821,70.5179282868526,0.0,0.0,89.2430278884462,60.614684120660215,탐욕,,,
2026-02-13,99.20318725099602,78.88446215139442,92.43027888446214,0.3984063745019881,0.0,0.0,84.06374501992032,50.711439954467835,중립,,,
2026-02-19,100.0,98.80478087649402,100.0,11.55378486055777,2.191235059760956,0.0,90.0398406374502,57.51280591918042,탐욕,,,
2026-02-20,100.0,73.70517928286853,100.0,0.3984063745019881,0.0,0.0,94.02390438247012,52.589641434262944,중립,,,
2026-02-23,100.0,62.15139442231076,100.0,6.772908366533869,1.9920318725099548,0.3984063745019881,94.02390438247012,52.19123505976096,중립,,,
2026-02-24,100.0,64.14342629482071,100.0,0.0,0.3984063745019881,0.0,94.82071713147411,51.33750711439954,중립,,,
2026-02-25,100.0,48.20717131474104,100.0,0.0,0.0,0.0,97.60956175298804,49.402390438247004,중립,,,
2026-02-26,100.0,60.1593625498008,100.0,3.5856573705179215,0.0,0.0,100.0,51.96357427433124,중립,,,
2026-02-27,99.60159362549801,14.342629482071715,100.0,2.390438247011957,0.0,0.0,98.40637450199203,44.963005122367676,공포,,,
2026-03-03,96.81274900398407,9.163346613545817,99.60159362549801,73.30677290836654,1.5936254980079667,0.0,74.9003984063745,50.768355150825265,중립,,,
2026-03-04,74.9003984063745,3.187250996015936,98.40637450199203,97.60956175298804,5.179282868525888,0.0,8.764940239043826,41.14968696642003,공포,,,
2026-03-05,91.63346613545816,87.64940239043824,98.00796812749005,87.64940239043824,4.581673306772899,0.0,53.78486055776892,60.47239612976665,탐욕,,,
2026-03-06,90.0398406374502,66.93227091633466,97.21115537848605,55.776892430278885,5.577689243027891,0.3984063745019881,78.08764940239044,56.28912919749572,탐욕,,,
2026-03-09,75.2988047808765,3.5856573705179287,96.41434262948208,93.62549800796813,7.3705179282868585,0.7968127490039763,17.928286852589643,42.14570290267501,공포,,,
2026-03-10,85.2589641434263,36.254980079681275,96.01593625498009,15.936254980079681,1.5936254980079667,0.3984063745019881,36.65338645418327,38.87307911212293,공포,,,
2026-03-11,86.85258964143426,71.71314741035857,95.2191235059761,7.968127490039848,1.3944223107569655,0.7968127490039763,60.55776892430279,46.35742743312465,중립,,,
2026-03-12,84.86055776892431,22.31075697211155,94.42231075697211,19.920318725099605,1.1952191235059786,1.1952191235059786,66.53386454183267,41.49117814456459,공포,,,
2026-03-13,80.0796812749004,30.278884462151396,87.64940239043824,22.310756972111562,7.3705179282868585,2.390438247011957,39.44223107569721,38.50313033579966,공포,,,
2026-03-16,81.27490039840637,68.52589641434263,84.06374501992032,32.270916334661365,5.577689243027891,2.390438247011957,45.41832669322709,45.64598747865681,중립,,,
2026-03-17,83.66533864541833,62.54980079681275,82.47011952191235,1.1952191235059786,6.97211155378487,2.390438247011957,47.410358565737056,40.95048377916904,공포,,,
2026-03-18,94.02390438247012,94.82071713147411,82.07171314741036,0.0,1.1952191235059786,0.7968127490039763,54.980079681274894,46.84120660216278,중립,,,
2026-03-19,86.45418326693228,83.26693227091634,83.26693227091634,69.7211155378486,3.5856573705179215,0.7968127490039763,44.223107569721115,53.04496300512237,중립,,,
2026-03-20,85.2589641434263,95.2191235059761,85.2589641434263,50.59760956175299,8.764940239043824,1.1952191235059786,31.872509960159363,51.166761525327274,중립,,,
2026-03-23,70.5179282868526,9.163346613545817,86.05577689243027,50.59760956175299,15.936254980079681,0.0,2.3904382470119523,33.52305065452476,공포,,,
2026-03-24,73.30677290836654,18.725099601593627,83.66533864541833,84.06374501992032,4.382470119521912,0.0,5.9760956175298805,38.58850313033581,공포,,,
2026-03-25,75.69721115537848,38.645418326693225,82.07171314741036,61.75298804780876,4.980079681274901,0.3984063745019881,5.577689243027888,38.446215139442224,공포,,,
2026-03-26,68.92430278884463,11.553784860557768,79.2828685258964,50.59760956175299,3.9840637450199097,0.0,0.398406374501992,30.677290836653388,공포,,,
2026-03-27,64.9402390438247,6.772908366533864,76.89243027888446,100.0,5.179282868525888,1.5936254980079667,0.0,36.48264086511098,공포,,,
2026-03-30,39.04382470119522,45.81673306772908,74.9003984063745,99.60159362549801,1.1952191235059786,1.5936254980079667,0.0,37.45019920318725,공포,,,
2026-03-31,20.717131474103585,29.880478087649404,72.11155378486056,97.21115537848605,1.5936254980079667,3.5856573705179215,0.796812749003984,32.27091633466135,공포,,,
2026-04-01,63.34661354581673,50.99601593625498,67.33067729083665,54.18326693227092,0.0,7.968127490039848,55.77689243027888,42.80022766078543,공포,,,
2026-04-02,29.08366533864542,48.20717131474104,62.54980079681275,19.920318725099605,0.3984063745019881,8.366533864541836,5.179282868525896,24.81502561183836,극단적 공포,,,
2026-04-03,43.42629482071713,51.79282868525896,58.964143426294825,11.155378486055781,0.3984063745019881,8.366533864541836,11.155378486055776,26.465566306203755,공포,,,
2026-04-06,48.60557768924303,70.1195219123506,57.76892430278885,58.56573705179283,0.0,9.163346613545826,37.84860557768924,40.29595902105863,공포,,,
2026-04-07,54.18326693227091,61.75298804780876,56.573705179282875,47.410358565737056,0.0,9.561752988047814,20.318725099601593,35.685828116107004,공포,,,
2026-04-08,77.29083665338645,70.1195219123506,56.573705179282875,71.71314741035856,0.0,9.163346613545826,43.42629482071713,46.89812179852021,중립,,,
2026-04-09,71.31474103585657,83.66533864541833,58.16733067729084,91.23505976095618,0.3984063745019881,9.163346613545826,35.0597609561753,49.857712009106436,중립,,,
2026-04-10,72.90836653386454,96.41434262948208,61.354581673306775,1.9920318725099548,0.7968127490039763,9.960159362549803,50.59760956175299,42.00341491178144,공포,,,
2026-04-13,70.1195219123506,74.5019920318725,69.7211155378486,48.60557768924303,0.7968127490039763,9.561752988047814,43.02788844621514,45.19066590779739,중립,,,
2026-04-14,77.29083665338645,74.10358565737052,72.50996015936255,0.3984063745019881,0.0,9.163346613545826,47.410358565737056,40.12521343198633,공포,,,
2026-04-15,82.07171314741036,88.44621513944223,75.2988047808765,0.0,0.3984063745019881,11.155378486055781,32.27091633466135,41.37734775184975,공포,,,
2026-04-16,88.44621513944223,80.87649402390437,78.08764940239044,48.20717131474104,1.5936254980079667,11.952191235059757,56.573705179282875,52.24815025611837,중립,,,
2026-04-17,83.26693227091634,21.91235059760956,79.2828685258964,5.577689243027891,1.7928286852589679,11.952191235059757,51.39442231075697,36.45418326693227,공포,,,
2026-04-20,83.26693227091634,47.410358565737056,82.47011952191235,61.75298804780876,0.3984063745019881,13.147410358565736,85.2589641434263,53.38645418326693,중립,,,
2026-04-21,91.63346613545816,78.88446215139442,87.64940239043824,0.7968127490039763,0.9960159362549774,13.545816733067724,85.2589641434263,51.252134319863394,중립,,,
2026-04-22,91.63346613545816,81.27490039840637,94.02390438247012,5.976095617529879,3.5856573705179215,13.944223107569726,78.48605577689243,52.703471826977804,중립,,,
2026-04-23,91.63346613545816,25.099601593625497,94.82071713147411,19.521912350597617,5.976095617529879,14.741035856573703,91.63346613545816,49.06089926010245,중립,,,
2026-04-24,91.23505976095618,77.29083665338645,95.2191235059761,7.56972111553786,6.772908366533869,15.13944223107569,92.03187250996015,55.036994877632324,탐욕,,,
2026-04-27,94.02390438247012,70.91633466135458,96.01593625498009,36.254980079681275,5.976095617529879,15.537848605577693,99.60159362549801,59.760956175298816,탐욕,,,
2026-04-28,93.62549800796812,89.2430278884462,96.81274900398407,6.374501992031881,6.772908366533869,15.936254980079681,100.0,58.39499146272055,탐욕,,,
2026-04-29,94.02390438247012,40.63745019920319,96.81274900398407,8.366533864541836,5.577689243027891,25.498007968127496,96.01593625498009,52.41889584519067,중립,,,
2026-04-30,90.0398406374502,15.936254980079681,97.21115537848605,62.94820717131474,8.366533864541836,35.4581673306773,99.20318725099602,58.45190665907798,탐욕,,,
2026-05-04,97.21115537848605,55.37848605577689,97.60956175298804,14.342629482071715,8.366533864541836,31.474103585657375,99.60159362549801,57.712009106431424,탐욕,,,
2026-05-06,98.80478087649402,71.71314741035857,98.00796812749005,2.390438247011957,7.56972111553786,21.91235059760956,100.0,57.19977233921457,탐욕,,,
2026-05-07,99.20318725099602,23.904382470119522,98.00796812749005,31.075697211155372,6.772908366533869,22.310756972111562,100.0,54.46784291405806,중립,,,
