날짜,주가_모멘텀,주가_강도,주가_폭,신용스프레드,시장_변동성,안전자산_수요,K_탐욕공포지수,등급,업데이트_시각
2026-05-28,98.00796812749005,21.91235059760956,34.26294820717131,15.936254980079681,13.147410358565736,96.81274900398407,46.679946879150066,중립,
2026-05-29,100.0,31.872509960159363,28.286852589641438,14.541832669322702,13.147410358565736,98.00796812749005,47.64276228419654,중립,
2026-06-01,100.0,14.342629482071715,24.302788844621514,17.13147410358566,13.147410358565736,99.60159362549801,44.754316069057104,공포,
2026-06-02,99.60159362549801,28.286852589641438,17.131474103585656,12.948207171314735,13.944223107569726,100.0,45.318725099601586,중립,
2026-06-04,99.20318725099602,31.872509960159363,14.741035856573706,17.330677290836647,15.537848605577693,95.61752988047809,45.71713147410359,중립,
2026-06-05,93.62549800796812,1.9920318725099602,9.9601593625498,18.924302788844628,13.944223107569726,71.71314741035857,35.0265604249668,공포,
2026-06-08,84.86055776892431,1.1952191235059761,6.772908366533864,14.741035856573703,8.764940239043824,28.68525896414343,24.169986719787516,극단적 공포,
2026-06-09,91.63346613545816,91.63346613545816,4.780876494023905,4.980079681274901,7.56972111553786,60.1593625498008,43.45949535192563,공포,
2026-06-10,87.25099601593625,13.147410358565736,3.9840637450199203,16.733067729083658,7.56972111553786,21.91235059760956,25.099601593625497,공포,
2026-06-11,86.05577689243027,11.155378486055776,2.788844621513944,21.513944223107572,7.968127490039848,31.47410358565737,26.826029216467465,공포,
2026-06-12,89.64143426294821,94.82071713147411,0.796812749003984,7.56972111553786,7.56972111553786,35.85657370517929,39.37583001328022,공포,
2026-06-15,94.42231075697211,94.82071713147411,0.796812749003984,5.179282868525888,5.577689243027891,48.20717131474104,41.50066401062417,공포,
2026-06-16,95.61752988047809,58.16733067729084,1.1952191235059761,4.382470119521912,9.960159362549803,80.0796812749004,41.56706507304117,공포,
2026-06-17,96.01593625498009,50.99601593625498,2.3904382470119523,4.7808764940239,9.960159362549803,82.47011952191235,41.10225763612218,공포,
2026-06-18,98.40637450199203,13.545816733067728,1.1952191235059761,5.179282868525888,11.155378486055781,93.22709163346613,37.11819389110226,공포,
2026-06-19,97.60956175298804,1.1952191235059761,0.0,5.179282868525888,11.55378486055777,93.62549800796812,34.8605577689243,공포,10:25
