,pcr_raw
2024-10-21,0.9831208952525977
2024-10-22,0.9969975579838174
2024-10-23,0.7553873970210675
2024-10-24,0.9815245775258843
2024-10-25,0.8648878741380267
2024-10-28,0.8757983726281239
2024-10-29,0.8037433453611649
2024-10-30,0.8895893942336754
2024-10-31,0.8505514704829069
2024-11-01,0.9053764418245052
2024-11-04,0.7398725157760048
2024-11-05,0.7592506842649116
2024-11-06,0.9729695662204757
2024-11-07,0.8438997108898872
2024-11-08,1.0350627571313094
2024-11-11,0.9530520364359752
2024-11-12,1.118807228334775
2024-11-13,1.2079105778914656
2024-11-14,1.0329983994909586
2024-11-15,0.8856439528402628
2024-11-18,0.8367321422289328
2024-11-19,0.9365324818815938
2024-11-20,0.9700838116167343
2024-11-21,0.9677094048940117
2024-11-22,0.8528196690205835
2024-11-25,0.8892485688855997
2024-11-26,1.1380480813632627
2024-11-27,0.9426366439078303
2024-11-28,1.047153289388652
2024-11-29,1.3015172187922937
2024-12-02,0.9941041166099533
2024-12-03,0.6856313212642676
2024-12-04,1.1378318358664778
2024-12-05,1.0108952122438468
2024-12-06,1.3782291651944547
2024-12-09,1.1295609180721715
2024-12-10,0.8210480634319836
2024-12-11,0.951670033978381
2024-12-12,1.0816744836777228
2024-12-13,0.8510591185970112
2024-12-16,0.9130568920185284
2024-12-17,0.8078874796208793
2024-12-18,0.8266418934540546
2024-12-19,1.2509511541196112
2024-12-20,1.2852319924581328
2024-12-23,0.9645049125787936
2024-12-24,1.0564107821051658
2024-12-26,0.9186881557251012
2024-12-27,1.202332213590874
2024-12-30,1.0439513965412512
2025-01-02,0.9965552238164791
2025-01-03,0.7220287740304131
2025-01-06,0.7948509221061916
2025-01-07,0.7151145922565277
2025-01-08,0.6532661082613507
2025-01-09,0.8452231078983099
2025-01-10,0.9773937495550651
2025-01-13,1.1043666026871402
2025-01-14,0.9630152534396368
2025-01-15,1.0052509741183349
2025-01-16,0.9265800148475664
2025-01-17,0.9983078014755468
2025-01-20,0.894454682805921
2025-01-21,1.106575584631774
2025-01-22,0.7646661667133307
2025-01-23,0.8477285188482585
2025-01-24,0.8911465450784841
2025-01-31,1.1592582609441429
2025-02-03,1.2437808302392424
2025-02-04,1.1853510754911685
2025-02-05,0.9614999294299585
2025-02-06,1.0427460452691464
2025-02-07,1.0815709440021042
2025-02-10,0.9141501757265276
2025-02-11,0.7867244511845153
2025-02-12,0.9432794937520704
2025-02-13,0.8645639969975774
2025-02-14,0.8215603767514337
2025-02-17,1.0516332992891744
2025-02-18,0.8026445106299415
2025-02-19,0.6771071116349912
2025-02-20,0.7902495071139725
2025-02-21,0.9192286525961954
2025-02-24,0.9007301613516899
2025-02-25,0.9036216015368682
2025-02-26,0.8486969195605262
2025-02-27,0.882046786342914
2025-02-28,1.3132501725359875
2025-03-04,1.1283835768832884
2025-03-05,1.0116712202999867
2025-03-06,0.8376199361557279
2025-03-07,1.0466210837269891
